id,calories,protein,fat,carbs
dish_1558468494,15.785,0.693,0.231,2.618
dish_1567106594,15.84,0.792,0.176,3.432
dish_1564601470,15.841,0.511,0.073,3.723
dish_1558723512,15.99,0.351,0.078,3.9
dish_1558457530,16.0,1.152,0.192,3.2
dish_1558629488,16.0,1.152,0.192,3.2
dish_1561575410,16.0,1.152,0.192,3.2
dish_1558631872,16.02,0.801,0.178,3.471
dish_1558636514,16.02,0.801,0.178,3.471
dish_1558639662,16.02,0.801,0.178,3.471
dish_1558639673,16.02,0.801,0.178,3.471
dish_1558639683,16.02,0.801,0.178,3.471
dish_1560368110,16.02,0.801,0.178,3.471
dish_1558723073,16.200001,0.81,0.18,3.51
dish_1558379324,16.32,0.384,0.096,3.84
dish_1559589902,16.368,2.158,0.184,2.64
dish_1558381708,16.43,0.954,0.053,3.71
dish_1558723096,16.5,1.188,0.198,3.3
dish_1562183065,16.5,2.325,0.225,2.475
dish_1565811287,16.51,1.905,0.254,2.794
dish_1565118700,16.66,1.2495,0.2205,3.1115
dish_1558632198,16.796001,1.586,0.884,0.832
dish_1559233570,16.83,0.357,0.153,4.08
dish_1562871731,17.029999,1.965,0.262,2.882
dish_1568060616,17.08,1.342,0.244,3.233
dish_1561393715,17.15,1.176,0.196,3.43
dish_1563824250,17.200001,0.473,0.043,3.87
dish_1561406762,17.205421,0.310967,0.414091,3.452406
dish_1558030971,17.640001,0.245,0.049,4.41
dish_1558381665,17.85,1.224,0.204,3.57
dish_1562008695,18.0,1.296,0.216,3.6
dish_1558030724,18.300001,0.366,0.061,4.636
dish_1558641954,18.360001,0.918,0.204,3.978
dish_1561405332,18.549999,1.272,0.212,3.71
dish_1558721533,18.700001,0.44,0.11,4.4
dish_1559240256,18.9,1.296,0.216,3.78
dish_1558721700,19.040001,0.448,0.112,4.48
dish_1559675146,19.07,1.18,0.121,4.19
dish_1559332487,19.110001,0.833,0.441,3.822
dish_1557862696,19.25,1.386,0.231,3.85
dish_1558719097,19.26,0.963,0.214,4.173
dish_1558721380,19.26,0.963,0.214,4.173
dish_1558722707,19.26,0.963,0.214,4.173
dish_1558723926,19.26,0.963,0.214,4.173
dish_1558639089,19.32,0.196,0.056,5.04
dish_1565896662,19.380001,1.4535,0.2565,3.6195
dish_1563813221,19.402905,1.272276,0.486194,3.369661
dish_1559240441,19.470001,0.413,0.177,4.72
dish_1558028606,19.5,0.39,0.065,4.94
dish_1558721345,19.5,1.404,0.234,3.9
dish_1561145732,19.698,0.402,0.067,5.025
dish_1558641391,19.719999,0.464,0.116,4.64
dish_1558722370,19.75,1.422,0.237,3.95
dish_1558724689,19.75,1.422,0.237,3.95
dish_1558725576,19.75,1.422,0.237,3.95
dish_1558720289,20.0,1.44,0.24,4.0
dish_1558639818,20.059999,0.472,0.118,4.72
dish_1558632799,20.159,0.589,0.456,4.18
dish_1558635865,20.159,0.589,0.456,4.18
dish_1561580608,20.25,1.458,0.243,4.05
dish_1558027001,20.400002,0.408,0.068,5.168
dish_1560455030,20.59,0.956,0.148,4.625
dish_1562689601,20.611706,0.866341,1.046829,2.526829
dish_1562690886,20.611706,0.866341,1.046829,2.526829
dish_1559240382,20.646505,0.373161,0.496909,4.142887
dish_1557937715,20.669998,0.468,0.273,4.68
dish_1558549008,20.700001,1.035,0.23,4.485
dish_1558028492,20.74,0.488,0.122,4.88
dish_1558463362,20.880001,1.044,0.232,4.524
dish_1565797645,21.0,0.42,0.14,5.32
dish_1559158354,21.0,1.44,0.24,4.2
dish_1566500988,21.33,1.067,0.176,4.7
dish_1565640195,21.6,1.08,0.108,4.86
dish_1558640941,21.73,0.477,0.106,5.3
dish_1558639949,21.76,0.512,0.128,5.12
dish_1558629398,21.76,0.448,0.448,4.352
dish_1558028142,21.900002,0.438,0.073,5.548
dish_1561574368,22.0,1.6,1.05,2.15
dish_1557936599,22.049999,1.512,0.252,4.41
dish_1558462228,22.099998,0.459,0.051,4.76
dish_1558381819,22.1,0.455,0.455,4.42
dish_1558630737,22.25,1.602,0.267,4.45
dish_1561580552,22.25,1.602,0.267,4.45
dish_1558629578,22.5,1.62,0.27,4.5
dish_1558638896,22.68,1.134,0.252,4.914
dish_1558640238,22.68,1.134,0.252,4.914
dish_1558029842,22.780001,0.536,0.134,5.36
dish_1558723475,22.780001,0.536,0.134,5.36
dish_1558642458,23.0,1.656,0.276,4.6
dish_1560527950,23.1,0.462,0.154,5.852
dish_1564675060,23.1,0.462,0.154,5.852
dish_1565981769,23.104424,0.417585,0.556065,4.636088
dish_1565382995,23.210001,2.663,0.228,4.072
dish_1561662814,23.243509,0.350089,1.875044,1.529342
dish_1561580278,23.32,1.696,1.113,2.279
dish_1558639849,23.369999,0.513,0.114,5.7
dish_1558641007,23.369999,0.513,0.114,5.7
dish_1563391333,23.443058,0.719112,1.038718,2.716646
dish_1562614088,23.449999,1.608,0.268,4.69
dish_1563217736,23.449999,1.608,0.268,4.69
dish_1562860700,23.5,0.235,0.047,6.11
dish_1560368138,23.5,1.855,0.28,4.593
dish_1558028690,23.76,0.33,0.066,5.94
dish_1558457468,23.800001,0.56,0.14,5.6
dish_1560270537,24.0,0.24,0.048,6.24
dish_1558636388,24.0,1.728,0.288,4.8
dish_1562698100,24.0219,0.736868,1.064365,2.783724
dish_1558026684,24.139999,0.568,0.142,5.68
dish_1562958445,24.15,0.168,2.247,1.323
dish_1562700685,24.200001,3.41,0.33,3.63
dish_1558641358,24.25,1.746,0.291,4.85
dish_1558718051,24.25,1.746,0.291,4.85
dish_1558719336,24.25,1.746,0.291,4.85
dish_1558721669,24.25,1.746,0.291,4.85
dish_1558722171,24.25,1.746,0.291,4.85
dish_1561134102,24.300001,0.486,0.162,6.156
dish_1562699570,24.42,0.572,0.198,5.06
dish_1563391922,24.440001,1.525333,0.381333,4.541334
dish_1559233445,24.5,0.245,0.049,6.37
dish_1558639221,24.5,1.764,0.294,4.9
dish_1560441270,24.540001,0.835,0.063,5.304
dish_1558628921,24.6,0.54,0.12,6.0
dish_1559934645,24.639999,1.792,1.176,2.408
dish_1562949467,24.655609,1.053658,1.896585,1.545366
dish_1566332085,24.75,2.865,0.26,4.3
dish_1558639787,24.75,1.782,0.297,4.95
dish_1562702007,24.784069,0.892431,0.871068,3.561408
dish_1559061675,24.900002,0.498,0.166,6.308
dish_1559240987,25.070757,0.453124,0.60339,5.030649
dish_1566590536,25.070757,0.453124,0.60339,5.030649
dish_1559934477,25.08,1.824,1.197,2.451
dish_1560370804,25.134001,0.474,0.426,4.74
dish_1558632990,25.25,1.818,0.303,5.05
dish_1559843030,25.410002,0.539,0.231,6.16
dish_1559843335,25.410002,0.539,0.231,6.16
dish_1559844030,25.410002,0.539,0.231,6.16
dish_1566931482,25.48,2.002,0.364,4.823
dish_1558459994,25.530001,0.259,0.074,6.66
dish_1558462106,25.530001,0.259,0.074,6.66
dish_1562169729,25.530136,1.674047,0.639729,4.433764
dish_1560455059,25.550001,1.173,0.21,5.679
dish_1559245589,25.562342,0.462009,0.615221,5.129289
dish_1563823814,25.585732,0.587577,0.920258,4.275406
dish_1560801797,25.655659,1.344873,0.700594,4.108631
dish_1563305653,25.74,3.627,0.351,3.861
dish_1558718009,25.84,0.608,0.152,6.08
dish_1558718649,25.84,0.608,0.152,6.08
dish_1558722685,25.84,0.608,0.152,6.08
dish_1557937037,25.969999,0.588,0.343,5.88
dish_1559243139,26.053925,0.470893,0.627052,5.227929
dish_1561567053,26.1,0.522,0.174,6.612
dish_1564685144,26.1625,0.8775,1.29875,3.4125
dish_1559149650,26.24,0.576,0.128,6.4
dish_1565727765,26.32,1.83,0.308,5.237
dish_1560456305,26.391596,0.547266,2.249872,1.348324
dish_1557937427,26.434999,2.125,1.785,0.204
dish_1565119642,26.52,1.989,0.351,4.953
dish_1559239753,26.545507,0.479778,0.638884,5.326569
dish_1564516732,26.545507,0.479778,0.638884,5.326569
dish_1563477659,26.551344,1.741009,0.665319,4.611115
dish_1559060055,26.730001,0.567,0.243,6.48
dish_1563217895,26.799278,1.316418,1.066823,3.975292
dish_1562787956,26.84,1.952,1.281,2.623
dish_1558114569,26.91,0.273,0.078,7.02
dish_1566933401,27.052683,1.156098,2.080976,1.69561
dish_1563308323,27.059999,0.594,0.132,6.6
dish_1563391647,27.390959,0.499757,2.612649,0.914156
dish_1556575083,27.52,2.176,0.192,5.76
dish_1563393148,27.730003,1.730667,0.432667,5.152667
dish_1563393341,27.965,1.745333,0.436333,5.196334
dish_1558468435,28.0,1.92,0.32,5.6
dish_1567019993,28.083149,1.841452,0.703702,4.87714
dish_1559848857,28.089998,0.424,0.159,6.89
dish_1560441464,28.5,0.35,0.15,7.0
dish_1568666184,28.500002,2.66,0.38,5.51
dish_1562007739,28.6,2.08,1.365,2.795
dish_1559675178,28.970001,1.675,0.231,6.335
dish_1558459059,28.98,0.294,0.084,7.56
dish_1558550181,28.98,0.294,0.084,7.56
dish_1558110245,29.07,0.357,0.153,7.14
dish_1558110297,29.07,0.357,0.153,7.14
dish_1561576590,29.231468,0.896671,1.295191,3.387423
dish_1562700885,29.25,2.106,0.351,5.85
dish_1558721272,29.52,0.648,0.144,7.2
dish_1561574783,29.626781,0.575964,2.815253,0.966312
dish_1558026623,29.880001,0.415,0.083,7.47
dish_1558630488,29.92,0.704,0.176,7.04
dish_1563897338,29.92,0.704,0.176,7.04
dish_1563304261,30.210915,2.293849,1.181061,3.101745
dish_1562096512,30.3396,0.492013,2.738935,1.373378
dish_1558720097,30.34,0.666,0.148,7.4
dish_1563389042,30.478174,0.550856,0.733533,6.115691
dish_1560356314,30.544943,0.575824,2.913618,0.948529
dish_1558114209,30.6,0.72,0.18,7.2
dish_1558722636,30.75,0.675,0.15,7.5
dish_1558724912,30.75,0.675,0.15,7.5
dish_1558639266,30.768999,0.899,0.696,6.38
dish_1558639482,30.768999,0.899,0.696,6.38
dish_1567785622,30.779999,0.378,0.162,7.56
dish_1565724509,30.809999,1.343,0.711,6.162
dish_1558116090,30.940001,0.728,0.182,7.28
dish_1562700496,31.0,2.232,0.372,6.2
dish_1564516366,31.049999,0.216,2.889,1.701
dish_1558031628,31.280001,0.736,0.184,7.36
dish_1561491121,31.45747,0.565848,2.923962,1.182557
dish_1568060646,31.48,1.738,0.28,6.473001
dish_1561579505,31.5,2.268,0.378,6.3
dish_1558031237,31.620001,0.744,0.186,7.44
dish_1558721323,31.620001,0.744,0.186,7.44
dish_1558723047,31.620001,0.744,0.186,7.44
dish_1558724005,31.620001,0.744,0.186,7.44
dish_1565711270,31.620001,0.744,0.186,7.44
dish_1559843492,31.710001,0.971,0.303,7.42
dish_1561392710,31.800001,0.636,0.212,8.056
dish_1561404924,31.843937,2.417841,1.244902,3.269407
dish_1558628515,31.92,0.392,0.168,7.84
dish_1558719040,31.960001,0.752,0.188,7.52
dish_1561578156,31.990978,0.95098,1.141176,5.610784
dish_1568318286,32.200001,2.53,0.46,6.095
dish_1558640882,32.299999,0.76,0.19,7.6
dish_1563465805,32.43,0.483,1.564,4.14
dish_1558724633,32.899998,2.256,0.376,6.58
dish_1563305321,32.936092,0.59528,0.792689,6.608891
dish_1565379251,32.936092,0.59528,0.792689,6.608891
dish_1558639412,32.98,0.776,0.194,7.76
dish_1561574600,32.980392,0.980392,1.176471,5.784314
dish_1558635933,33.32,0.784,0.196,7.84
dish_1565721800,33.345001,1.4535,0.7695,6.669
dish_1558632130,33.66,0.792,0.198,7.92
dish_1562776428,33.69978,2.209742,0.844443,5.852568
dish_1560543465,33.880001,2.464,1.617,3.311
dish_1558725253,33.950001,2.328,0.388,6.79
dish_1559235639,33.990002,0.721,0.309,8.24
dish_1559157454,34.564575,0.671958,3.284461,1.127364
dish_1563216381,34.649998,2.376,0.396,6.93
dish_1563389413,34.649998,2.376,0.396,6.93
dish_1561739160,34.77,0.427,0.183,8.54
dish_1558633158,34.849998,0.765,0.17,8.5
dish_1567022147,34.920002,1.746,0.256,7.746
dish_1557861605,35.099998,7.176,5.07,0.0
dish_1563393182,35.230003,2.480667,0.432667,6.652667
dish_1568044496,35.400002,0.708,0.236,8.967999
dish_1561575445,35.458431,1.730431,0.886118,6.612745
dish_1566931116,35.5,2.556,0.426,7.1
dish_1565808975,35.720001,1.282,0.204,7.926
dish_1558380414,35.880001,0.364,0.104,9.360001
dish_1561666619,35.880001,0.364,0.104,9.360001
dish_1560802006,35.926495,2.727821,1.404505,3.688562
dish_1565726812,36.209755,1.521951,1.839024,4.439024
dish_1563824092,36.279591,1.444974,0.989033,6.352623
dish_1565810146,36.445538,0.755749,3.106966,1.861971
dish_1562947376,36.5,0.365,0.073,9.49
dish_1558379128,36.57,0.371,0.106,9.54
dish_1558381084,36.57,0.371,0.106,9.54
dish_1568400967,36.610001,2.628,0.452,7.196
dish_1568055963,36.799999,0.256,3.424,2.016
dish_1564516397,36.809998,0.504,2.953,2.949
dish_1559675234,36.970001,2.075,0.271,8.135
dish_1559157919,37.094574,0.990958,3.328461,1.523364
dish_1558113154,37.259998,0.378,0.108,9.72
dish_1562945131,37.323902,1.56878,1.89561,4.57561
dish_1559751710,37.619999,0.462,0.198,9.24
dish_1562945779,37.69532,0.928,2.020645,4.463193
dish_1558721559,37.720001,0.828,0.184,9.2
dish_1558722322,37.720001,0.828,0.184,9.2
dish_1560975491,37.84,2.752,1.806,3.698
dish_1558110335,37.869999,2.59,2.94,0.098
dish_1560787696,37.869999,2.59,2.94,0.098
dish_1563309189,37.950001,0.264,3.531,2.079
dish_1563820775,38.07,2.376,0.594,7.074
dish_1562096542,38.0896,0.942013,2.763935,3.123378
dish_1558723671,38.130001,0.837,0.186,9.3
dish_1558544482,38.189999,0.469,0.201,9.38
dish_1565984245,38.34351,0.693013,0.922832,7.693933
dish_1558030289,38.52,0.535,0.107,9.63
dish_1565640528,38.546906,1.893478,1.534471,5.717885
dish_1563822546,38.720001,2.816,1.848,3.784
dish_1558029148,38.880001,0.54,0.108,9.72
dish_1558636902,38.950001,0.855,0.19,9.5
dish_1558642420,38.950001,0.855,0.19,9.5
dish_1563475788,39.0,0.39,0.078,10.139999
dish_1567106620,39.040001,1.952,0.292,8.652
dish_1558724723,39.200001,2.688,0.448,7.84
dish_1565797671,39.239998,0.644,0.236,9.799999
dish_1558115960,39.27,1.02,0.051,8.67
dish_1559841979,39.289997,1.192,0.287,9.13
dish_1559846073,39.289997,1.192,0.287,9.13
dish_1558116486,39.329998,0.399,0.114,10.26
dish_1558642089,39.360001,0.864,0.192,9.6
dish_1559332795,39.368401,0.531219,3.721487,1.441863
dish_1559675268,39.370003,2.315,0.271,8.615
dish_1564170474,39.480003,2.464,0.616,7.336
dish_1563996251,39.5,2.844,0.474,7.9
dish_1564429702,39.5,2.844,0.474,7.9
dish_1560444892,39.540001,0.45,0.09,10.139999
dish_1563996596,39.599998,2.88,1.89,3.87
dish_1560366998,39.600002,0.823,0.173,9.648001
dish_1567007751,39.93,0.651,0.219,9.66
dish_1562876494,40.10693,6.487736,1.171626,0.542953
dish_1558640039,40.18,0.882,0.196,9.8
dish_1558725353,40.420002,3.196,0.282,8.46
dish_1565208562,40.48,2.944,1.932,3.956
dish_1558638163,40.59,0.891,0.198,9.900001
dish_1558639306,40.59,0.891,0.198,9.900001
dish_1558460061,40.709999,0.413,0.118,10.620001
dish_1559158263,40.73682,0.79195,3.870972,1.328679
dish_1563563467,40.750244,1.741463,3.134634,2.554147
dish_1565207815,40.848213,2.678475,1.023567,7.094023
dish_1560874548,41.040001,0.504,0.216,10.08
dish_1562702813,41.051445,0.977894,3.469702,2.070021
dish_1562183096,41.18898,2.80497,2.571043,3.28026
dish_1560889008,41.293011,0.746322,0.993819,8.285774
dish_1562873155,41.33675,1.38645,2.052025,5.39175
dish_1556572657,41.399998,0.288,3.852,2.268
dish_1560441487,41.419998,0.654,0.226,10.04
dish_1563294408,41.5,0.415,0.083,10.79
dish_1562872182,41.539997,4.984,0.626,6.886
dish_1562168648,41.594833,1.024,2.229677,4.924903
dish_1565023128,41.594833,1.024,2.229677,4.924903
dish_1558458737,41.599998,0.864,0.096,8.96
dish_1560368162,41.639214,2.394216,0.927059,7.774373
dish_1561662160,41.838322,0.63016,3.37508,2.752816
dish_1566501293,41.900002,0.538,2.812,4.338
dish_1558463429,42.09,0.427,0.122,10.98
dish_1561147944,42.371025,0.820393,3.643008,2.258935
dish_1560975517,42.389999,3.064,1.858,4.608
dish_1558640294,42.400002,1.598,0.368,9.554
dish_1561061593,42.458584,3.223788,1.65987,4.35921
dish_1561392512,42.75,0.525,0.225,10.5
dish_1561575170,42.75,3.078,0.513,8.55
dish_1558115825,42.779999,0.434,0.124,11.160001
dish_1558725049,43.0,3.4,0.3,9.0
dish_1565035746,43.099998,2.409,0.369,9.01
dish_1559838214,43.279999,2.96,3.36,0.112
dish_1565020755,43.279999,2.96,3.36,0.112
dish_1565711296,43.349998,0.863,0.22,10.5
dish_1558109907,43.470001,0.441,0.126,11.34
dish_1565034234,43.75,3.15,0.525,8.75
dish_1560270585,43.800003,0.636,0.18,11.256
dish_1562702044,44.034069,2.278431,1.102068,7.411408
dish_1561580322,44.25,2.662,1.228,6.672
dish_1565812116,44.44017,0.863946,4.222879,1.449468
dish_1568649312,44.459999,0.546,0.234,10.92
dish_1566416299,44.9995,1.5093,2.23385,5.8695
dish_1559319826,45.029999,0.553,0.237,11.06
dish_1562959485,45.242737,0.938171,3.856924,2.311412
dish_1565640549,45.482903,2.641478,1.568471,7.043886
dish_1558375732,45.540001,0.462,0.132,11.88
dish_1558549150,45.540001,0.462,0.132,11.88
dish_1565724196,45.68,1.92,2.32,5.6
dish_1557863104,46.0,0.32,4.28,2.52
dish_1567023110,46.0,0.32,4.28,2.52
dish_1559849020,46.23,0.469,0.134,12.06
dish_1558636868,46.248001,1.792,3.96,1.816
dish_1561060787,46.464848,3.046765,1.164307,8.06945
dish_1561663786,46.683998,1.364,1.056,9.68
dish_1563900120,46.896584,0.478049,1.195122,8.604878
dish_1560366389,46.909065,0.911943,4.457482,1.529994
dish_1558122583,46.969997,1.22,0.061,10.37
dish_1557937335,47.158001,0.608,0.076,11.172
dish_1560802048,47.213894,3.07406,1.904628,4.996577
dish_1565033110,47.599998,3.418,0.588,9.355
dish_1565638478,47.615753,1.59705,2.363725,6.21075
dish_1560888817,47.939999,0.714,2.312,6.12
dish_1560454488,48.244003,0.63549,4.500726,1.893843
dish_1563563240,48.299999,0.336,4.494,2.646
dish_1561492161,48.309685,0.868981,4.490371,1.81607
dish_1561666640,48.800003,0.668,0.18,12.400001
dish_1564589025,48.810734,0.497561,1.243902,8.956099
dish_1567022180,48.860001,2.052,0.324,11.146
dish_1568313527,48.920002,1.518,3.496,4.577
dish_1558376364,48.990002,0.497,0.142,12.780001
dish_1563393217,49.230003,2.865667,0.467667,9.802668
dish_1563908923,49.279999,3.584,2.352,4.816
dish_1560368395,49.320004,0.685,0.137,12.330001
dish_1563309237,49.550003,0.844,3.589,4.689
dish_1565379788,49.649929,0.897363,1.194949,9.962658
dish_1562691538,49.919998,9.6,0.192,0.672
dish_1567007783,50.0,0.879,0.352,11.94
dish_1561574974,50.130196,1.490196,1.788235,8.792157
dish_1564774773,50.136581,2.107317,2.546341,6.146341
dish_1562775456,50.16,0.66,0.0,11.88
dish_1562945803,50.295322,1.103,2.055645,7.613193
dish_1558725702,50.310001,3.978,0.351,10.530001
dish_1568315988,50.370003,5.52,3.312,1.311
dish_1563389079,50.428173,1.918856,0.961533,10.105691
dish_1565725009,50.599998,0.352,4.708,2.772
dish_1563564676,50.623695,3.843747,1.979075,5.197519
dish_1561661347,50.669998,3.426,1.632,7.215
dish_1558724574,50.740002,4.012,0.354,10.620001
dish_1558724853,50.740002,4.012,0.354,10.620001
dish_1567537352,50.792469,1.209936,4.293021,2.561213
dish_1564170098,50.799999,0.641,3.459,5.166
dish_1560444701,51.000004,1.02,0.34,12.919999
dish_1558376938,51.060001,0.518,0.148,13.320001
dish_1567625294,51.200001,0.64,4.8,2.88
dish_1563308353,51.465488,1.31949,1.002588,10.880392
dish_1558630006,51.75,0.525,0.15,13.500001
dish_1567785654,51.779999,0.588,0.204,13.02
dish_1562614895,51.799999,3.552,0.592,10.36
dish_1565895808,51.80175,1.73745,2.571525,6.75675
dish_1560441511,51.919998,0.864,0.296,12.7
dish_1558719401,51.988998,1.519,1.176,10.78
dish_1558722748,51.988998,1.519,1.176,10.78
dish_1558723123,51.988998,1.519,1.176,10.78
dish_1558723414,51.988998,1.519,1.176,10.78
dish_1561665626,51.988998,1.519,1.176,10.78
dish_1562774099,51.993542,1.28,2.787097,6.156128
dish_1558635962,52.028999,2.016,4.455,2.043
dish_1562873416,52.360001,3.808,2.499,5.117
dish_1565034605,52.491199,0.708292,4.961983,1.922484
dish_1560529825,52.919998,0.768,0.3,13.115999
dish_1561740321,52.980408,0.275927,5.462205,1.063661
dish_1560527070,53.129997,1.38,0.069,11.73
dish_1558458496,53.130001,0.539,0.154,13.860001
dish_1562170163,53.5,0.535,0.107,13.91
dish_1563468199,53.5,0.535,0.107,13.91
dish_1559843052,53.5,0.963,0.39,13.049999
dish_1568060414,53.598557,2.632836,2.133646,7.950584
dish_1560455343,53.941677,1.081126,4.908589,2.205773
dish_1559925037,54.099998,3.7,4.2,0.14
dish_1563897938,54.099998,3.7,4.2,0.14
dish_1558725085,54.360001,0.755,0.151,13.59
dish_1568055986,54.400002,0.74,3.468,5.976
dish_1560454513,54.444004,0.99549,4.520726,3.293843
dish_1564761388,54.599998,10.5,0.21,0.735
dish_1558028007,54.669998,1.42,0.071,12.07
dish_1560974707,55.025124,2.992605,2.003546,7.088692
dish_1560369080,55.050571,0.990234,5.116934,2.069475
dish_1559593646,55.385956,1.123272,4.106483,4.05874
dish_1568666230,55.800003,4.532,0.692,10.969999
dish_1559844611,55.889999,0.567,0.162,14.580001
dish_1558635523,55.899998,1.161,0.129,12.04
dish_1558638216,55.899998,1.161,0.129,12.04
dish_1565119669,55.965,3.2725,1.0305,10.842
dish_1563205877,56.0,4.9,3.5,1.05
dish_1559062051,56.239998,0.74,0.0,13.320001
dish_1562168673,56.354836,1.229,2.270678,8.614903
dish_1559933793,56.676903,3.716384,1.420199,9.842957
dish_1562787983,56.760002,2.656,1.457,9.663
dish_1566417398,56.892494,0.792647,5.357862,2.088042
dish_1558031302,56.98,1.48,0.074,12.58
dish_1562959379,57.066452,1.451472,4.411607,3.778441
dish_1565898511,57.16,0.878,4.404,4.938
